username,repo_name,stars,repo_url
arendst,Tasmota,18500,https://github.com/arendst/Tasmota
MarlinFirmware,Marlin,13900,https://github.com/MarlinFirmware/Marlin
arduino,Arduino,13200,https://github.com/arduino/Arduino
rwaldron,johnny-five,12800,https://github.com/rwaldron/johnny-five
tinygo-org,tinygo,11700,https://github.com/tinygo-org/tinygo
SpacehuhnTech,esp8266_deauther,10700,https://github.com/SpacehuhnTech/esp8266_deauther
espressif,arduino-esp32,9500,https://github.com/espressif/arduino-esp32
hybridgroup,gobot,8000,https://github.com/hybridgroup/gobot
gurugio,lowlevelprogramming-university,7900,https://github.com/gurugio/lowlevelprogramming-university
platformio,platformio-core,6200,https://github.com/platformio/platformio-core
bblanchon,ArduinoJson,5900,https://github.com/bblanchon/ArduinoJson
tzapu,WiFiManager,5500,https://github.com/tzapu/WiFiManager
hybridgroup,cylon,3900,https://github.com/hybridgroup/cylon
Arduino-IRremote,Arduino-IRremote,3800,https://github.com/Arduino-IRremote/Arduino-IRremote
arduino,arduino-cli,3600,https://github.com/arduino/arduino-cli
blynkkk,blynk-library,3500,https://github.com/blynkkk/blynk-library
olikraus,u8g2,3400,https://github.com/olikraus/u8g2
NectarJS,nectarjs,3300,https://github.com/NectarJS/nectarjs
ClemensElflein,OpenMower,3300,https://github.com/ClemensElflein/OpenMower
Serial-Studio,Serial-Studio,2900,https://github.com/Serial-Studio/Serial-Studio
