username,repo_name,stars,repo_url
iamadamdev,bypass-paywalls-chrome,29800,https://github.com/iamadamdev/bypass-paywalls-chrome
jaywcjlove,linux-command,20300,https://github.com/jaywcjlove/linux-command
refined-github,refined-github,19100,https://github.com/refined-github/refined-github
darkreader,darkreader,15200,https://github.com/darkreader/darkreader
checkly,headless-recorder,14500,https://github.com/checkly/headless-recorder
unbug,codelf,13200,https://github.com/unbug/codelf
Anarios,return-youtube-dislike,10200,https://github.com/Anarios/return-youtube-dislike
crimx,ext-saladict,9800,https://github.com/crimx/ext-saladict
gildas-lormeau,SingleFile,9400,https://github.com/gildas-lormeau/SingleFile
listen1,listen1_chrome_extension,9100,https://github.com/listen1/listen1_chrome_extension
dailydotdev,daily,8800,https://github.com/dailydotdev/daily
appbaseio,dejavu,7900,https://github.com/appbaseio/dejavu
alyssaxuu,screenity,7700,https://github.com/alyssaxuu/screenity
Kenshin,simpread,6400,https://github.com/Kenshin/simpread
ajayyy,SponsorBlock,5800,https://github.com/ajayyy/SponsorBlock
AutomaApp,automa,5700,https://github.com/AutomaApp/automa
alyssaxuu,omni,5600,https://github.com/alyssaxuu/omni
dessant,buster,5300,https://github.com/dessant/buster
manojVivek,medium-unlimited,5000,https://github.com/manojVivek/medium-unlimited
webclipper,web-clipper,4600,https://github.com/webclipper/web-clipper
